"Week","SNFG","Reference","Product","Sediaan","Unit of Measure","Scheduled Start Date","Scheduled Finished Date","State","Manufacturing Order","Manufacturing Order/Finished Product/Lot/Serial Number"
"3","HT-P1G1-P2/I0003","MO-HT-G1-BULK/I0011","[HT-G1-BULK] Bulk Hair Tonic Green","L","kg","2023-01-16","2023-01-18","Done","MO/230002288","AJ17A"
"3","L-GS04-EM/I0001","MO-L-GS04-BULK/I0001","[L-GS04-BULK] Emina Glossy Stain 04 Peach Sprinkles","L","kg","2023-01-19","2023-01-24","Done","MO/230002497","AJ20A"
"3","L-RCLCLS7-W/I0002","MO-L-RCLCLS7-BULK/I0001","[L-RCLCLS7-BULK] Wardah Colorfit Fresh Lip Ink Serum 07 Busy Bee","L","kg","2023-01-20","2023-01-24","Done","MO/230002519","AJ20A"
"3","M-LDGN1-W/I0001","MO-M-LDGN-BULK/I0004","[M-LDGN-BULK] Wardah Lightening Day Gel","L","kg","2023-01-18","2023-01-21","Done","MO/230002156","AJ19A"
"3","M-RHDGN1-W/I0001","MO-M-RHDG-BULK/I0002","[M-RHDG-BULK] Wardah Hydra Rose Dewy Aqua Day Gel","L","kg","2023-01-17","2023-01-24","Done","MO/230002151","AJ20A"
"3","M-RRYNCN2-W/I0003","MO-M-RRYNC-BULK/I0005","[M-RRYNC-BULK] Wardah Renew You Night Cream","L","kg","2023-01-18","2023-01-20","Done","MO/230002128","AJ18A"
"3","MASK-EEAL-W6GR/I0001","MO-MASK-EEAL-BULK/I0001","[MASK-EEAL-BULK] EyeExpert Aqua Lash Mascara Bulk","L","kg","2023-01-14","2023-01-19","Done","MO/230002114","AJ16A"
"3","MASK-EEPC-W7GR/I0001","MO-MASK-EEPC-BULK/I0001","[MASK-EEPC-BULK] EyeXpert Perfectcurl Mascara Bulk","L","kg","2023-01-17","2023-01-21","Done","MO/230002152","AJ17A"
"3","MASK-SMU-EM/I0001","MO-MASK-SMU-BULK/I0001","[MASK-SMU-BULK] Emina Squeeze Me Up Mascara","L","kg","2023-01-16","2023-01-18","Done","MO/230002145","AJ16A"
"3","MSS-P1C-P1/I0001","MO-MC-P-BULK/I0001","[MC-P-BULK] *Massage Cream Putri Bulkb (Kg","L","kg","2023-01-14","2023-01-18","Done","MO/230002267","AJ16A"
