"id","name","origin","state"
"__export__.stock_picking_40528_9e33f4b3","VCI/32351020022761","VCI#MO/230000112","Ready"
"__export__.stock_picking_41382_68dbb773","VCI/32351020023380","VCI#MO/230000210","Ready"
"__export__.stock_picking_41394_e80c573c","VCI/32351020023391","VCI#MO/230000220","Ready"
"__export__.stock_picking_41398_bea8c766","VCI/32351020023395","VCI#MO/230000224","Ready"
"__export__.stock_picking_41680_3c461fcf","VCI/32351020023607","VCI#MO/230000240","Ready"
"__export__.stock_picking_42442_33095fe6","VCI/32351020024061","VCI#MO/230000275","Ready"
"__export__.stock_picking_42482_248f2ae8","VCI/32351020024100","VCI#MO/230000314","Ready"
"__export__.stock_picking_42748_efb98c9f","VCI/32351020024267","VCI#MO/230000322","Ready"
"__export__.stock_picking_43252_4c24dad9","VCI/32351020024604","VCI#MO/230000326","Ready"
"__export__.stock_picking_43258_26073aff","VCI/32351020024610","VCI#MO/230000332","Ready"
"__export__.stock_picking_43261_49028b8c","VCI/32351020024613","VCI#MO/230000335","Ready"
"__export__.stock_picking_43437_a1f15f0b","VCI/32351020024741","VCI#MO/230000359","Ready"
"__export__.stock_picking_43678_89c976cb","VCI/32351020024916","VCI#MO/230000360","Ready"
