Process code;Routing type;Item code;Refill code;Bulk code;Bulk size;Bulk size_FM;Priority;Filling/Packing line code;Filling/Packing ALT.;Filling/Packing loss rate;Filling/Packing production rate;Filling/Packing production rate with change over;Efficiency of Filling/Packing;Filling code;Filling ALT.;Filling loss rate;Filling production rate;Filling production rate with change over;Efficiency of Filling;Labelling code;Labelling ALT.;Labelling loss rate;Labelling production rate;Labelling production rate with change over;Efficiency of labelling;Mixing code;Mixing ALT.;Mixing loss rate;Mixing production rate;Mixing production rate with change over;Efficiency of mixing;Milling code;Milling ALT.;Milling loss rate;Milling production rate;Milling production rate with change over;Efficiency of milling;Premix code;Premix ALT.;Premix loss rate;Premix production rate;Premix production rate with change over;Efficiency of premix;Weighing code;Weighing ALT.;Weighing loss rate;Weighing production rate;Weighing production rate with change over;Efficiency of weighing;flag item;flag bulk;flag refill
SFGPack;LR13;BOTP-ILSLS05R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;LSDP02;1;0;258;258;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-ILSLS05R0-W;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;MPL01;1;0;258;258;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-ILSLS06R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;LSDP02;1;0;1954.2;1954.2;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-ILSLS06R0-W;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;MPL01;1;0;1954.2;1954.2;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-MKMN_L100-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL02;1;0;300;300;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-MKMN_L100-P;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;MPL03;1;0;300;300;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-NLREV1450-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL01;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-NZASS30-T;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL01;1;0;540;540;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-PCHCA450RE-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL01;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-PCHCA450RE-P;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;MPL02;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-PCHCAREV12-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL02;1;0;510;510;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-PCHCAREV12-P;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;MPL03;1;0;510;510;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-PCHCFREV12-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL02;1;0;510;510;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-PCHCFREV14-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL02;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-PCHCFREV14-P;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;MPL03;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-PCSHA450RE-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL01;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
